,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP_y,DRAFT_NUMBER_y,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
195,Haywood Highsmith,Heat,Forward,6-4,220,USA,1996-12-09T00:00:00,2,,,,,,,,,85578.0
196,George Hill,Bucks,Guard,6-4,188,USA,1986-05-04T00:00:00,14,26,,,,,,,,4000000.0
197,Malcolm Hill,Bulls,Forward,6-6,220,USA,1995-10-26T00:00:00,1,Undrafted,,,,,,,,
198,Nate Hinton,Pacers,Guard-Forward,6-5,210,USA,1999-06-08T00:00:00,3,Undrafted,,,,,,,,
199,Aaron Holiday,Hawks,Guard,6-0,185,USA,1996-09-30T00:00:00,4,23,,,,,,,,3980551.0
200,Jrue Holiday,Bucks,Guard,6-3,205,USA,1990-06-12T00:00:00,13,17,59.0,1907.0,1046.0,268.0,357.0,96.0,37.0,30133333.0
201,Justin Holiday,Hawks,Forward-Guard,6-6,180,USA,1989-04-05T00:00:00,9,Undrafted,,,,,,,,6006420.0
202,Richaun Holmes,Kings,Forward,6-10,235,USA,1993-10-15T00:00:00,7,37,61.0,1781.0,869.0,504.0,101.0,39.0,96.0,10384500.0
203,Rodney Hood,Clippers,Guard-Forward,6-8,208,USA,1992-10-20T00:00:00,8,23,,,,,,,,2239544.0
204,Al Horford,Celtics,Center-Forward,6-9,240,Dominican Republic,1986-06-03T00:00:00,15,3,,,,,,,,27000000.0
205,Talen Horton-Tucker,Jazz,Guard,6-4,234,USA,2000-11-25T00:00:00,3,46,,,,,,,,9500000.0
206,Danuel House Jr.,76ers,Forward-Guard,6-6,220,USA,1993-06-07T00:00:00,6,Undrafted,,,,,,,,2045094.0
207,Dwight Howard,Lakers,Center-Forward,6-10,265,USA,1985-12-08T00:00:00,18,1,,,,,,,,2641691.0
208,Markus Howard,Nuggets,Guard,5-10,175,USA,1999-03-03T00:00:00,3,Undrafted,37.0,205.0,105.0,21.0,18.0,4.0,1.0,
209,Kevin Huerter,Kings,Guard-Forward,6-7,198,USA,1998-08-27T00:00:00,4,19,,,,,,,,4253357.0
210,Elijah Hughes,Trail Blazers,Guard,6-5,215,USA,1998-03-10T00:00:00,2,39,,,,,,,,1517981.0
211,Feron Hunt,Knicks,Forward,6-8,195,USA,1999-07-05T00:00:00,1,Undrafted,,,,,,,,
212,De'Andre Hunter,Hawks,Forward-Guard,6-8,221,USA,1997-12-02T00:00:00,3,4,23.0,678.0,344.0,110.0,44.0,19.0,12.0,7775400.0
213,Bones Hyland,Nuggets,Guard,6-2,169,USA,2000-09-14T00:00:00,1,26,,,,,,,,2096880.0
214,Serge Ibaka,Bucks,Forward,6-10,235,Republic of the Congo,1989-09-18T00:00:00,13,24,,,,,,,,9742000.0
215,Andre Iguodala,Warriors,Guard-Forward,6-6,215,USA,1984-01-28T00:00:00,18,9,,,,,,,,2641691.0
216,Joe Ingles,Bucks,Forward-Guard,6-8,220,Australia,1987-10-02T00:00:00,8,Undrafted,,,,,,,,14000000.0
217,Brandon Ingram,Pelicans,Forward,6-8,190,USA,1997-09-02T00:00:00,6,2,61.0,2092.0,1450.0,299.0,296.0,42.0,36.0,29467800.0
218,Kyrie Irving,Nets,Guard,6-2,195,Australia,1992-03-23T00:00:00,11,1,54.0,1886.0,1451.0,257.0,324.0,76.0,37.0,34916200.0
219,Jonathan Isaac,Magic,Forward,6-10,230,USA,1997-10-03T00:00:00,3,6,,,,,,,,17400000.0
220,Frank Jackson,Pistons,Guard,6-3,205,USA,1998-05-04T00:00:00,4,31,40.0,738.0,390.0,86.0,36.0,15.0,1.0,3000000.0
221,Isaiah Jackson,Pacers,Forward,6-10,205,USA,2002-01-10T00:00:00,1,22,,,,,,,,2451120.0
222,Josh Jackson,Raptors,Guard-Forward,6-8,207,USA,1997-02-10T00:00:00,5,4,,,,,,,,5005350.0
223,Reggie Jackson,Clippers,Guard,6-2,208,USA,1990-04-16T00:00:00,11,24,67.0,1544.0,715.0,192.0,205.0,41.0,7.0,10384500.0
224,Jaren Jackson Jr.,Grizzlies,Forward-Center,6-11,242,USA,1999-09-15T00:00:00,4,4,11.0,258.0,158.0,62.0,12.0,12.0,18.0,9180560.0
225,LeBron James,Lakers,Forward,6-9,250,USA,1984-12-30T00:00:00,19,1,45.0,1504.0,1126.0,346.0,350.0,48.0,25.0,41180544.0
226,Ty Jerome,Thunder,Guard-Forward,6-5,195,USA,1997-07-08T00:00:00,3,24,33.0,788.0,353.0,91.0,120.0,20.0,6.0,2412840.0
227,Isaiah Joe,76ers,Guard,6-4,165,USA,1999-07-02T00:00:00,2,49,41.0,383.0,153.0,36.0,20.0,12.0,4.0,1517981.0
228,Cameron Johnson,Suns,Forward,6-8,210,USA,1996-03-03T00:00:00,3,11,60.0,1437.0,573.0,199.0,86.0,37.0,16.0,4437000.0
229,David Johnson,Raptors,Guard,6-4,203,USA,2001-02-26T00:00:00,1,47,,,,,,,,
230,Jalen Johnson,Hawks,Forward,6-8,219,USA,2001-12-18T00:00:00,1,20,,,,,,,,2659560.0
231,Keldon Johnson,Spurs,Forward-Guard,6-6,220,USA,1999-10-11T00:00:00,3,29,69.0,1968.0,881.0,412.0,121.0,40.0,24.0,2145720.0
232,Keon Johnson,Trail Blazers,Guard,6-4,185,USA,2002-03-10T00:00:00,1,21,,,,,,,,2553120.0
233,Stanley Johnson,Jazz,Forward-Guard,6-6,242,USA,1996-05-29T00:00:00,7,8,,,,,,,,888616.0
234,Nikola Jokic,Nuggets,Center,6-11,284,Serbia,1995-02-19T00:00:00,7,41,72.0,2488.0,1898.0,780.0,599.0,95.0,48.0,30510423.0
235,Damian Jones,Lakers,Center,6-11,245,USA,1995-06-30T00:00:00,6,30,8.0,112.0,43.0,26.0,1.0,1.0,7.0,1977011.0
236,Herbert Jones,Pelicans,Forward,6-7,206,USA,1998-10-06T00:00:00,1,35,,,,,,,,1700000.0
237,Kai Jones,Hornets,Center-Forward,6-10,221,Bahamas,2001-01-19T00:00:00,1,19,,,,,,,,2770560.0
238,Mason Jones,Lakers,Guard,6-4,200,USA,1998-07-21T00:00:00,3,Undrafted,,,,,,,,
239,Tre Jones,Spurs,Guard,6-1,185,USA,2000-01-08T00:00:00,2,41,37.0,269.0,94.0,21.0,39.0,8.0,0.0,1517981.0
240,Tyus Jones,Grizzlies,Guard,6-0,196,USA,1996-05-10T00:00:00,7,24,70.0,1223.0,442.0,140.0,259.0,64.0,6.0,7522200.0
241,Derrick Jones Jr.,Bulls,Forward,6-6,210,USA,1997-02-15T00:00:00,6,Undrafted,,,,,,,,9720900.0
242,DeAndre Jordan,Nuggets,Center,6-11,265,USA,1988-07-21T00:00:00,14,35,,,,,,,,10517224.0
243,Cory Joseph,Pistons,Guard,6-3,200,Canada,1991-08-20T00:00:00,11,29,19.0,502.0,228.0,60.0,105.0,22.0,9.0,7310000.0
244,Luke Kennard,Clippers,Guard,6-5,206,USA,1996-06-24T00:00:00,5,12,63.0,1232.0,520.0,161.0,104.0,23.0,9.0,12727273.0
245,Braxton Key,Pistons,Forward,6-8,225,USA,1997-02-14T00:00:00,1,Undrafted,,,,,,,,
246,Corey Kispert,Wizards,Forward,6-6,224,USA,1999-03-03T00:00:00,1,15,,,,,,,,3383640.0
247,Maxi Kleber,Mavericks,Forward,6-10,240,Germany,1992-01-29T00:00:00,5,Undrafted,50.0,1341.0,353.0,260.0,68.0,24.0,35.0,8750000.0
248,Nathan Knight,Timberwolves,Forward-Center,6-10,253,USA,1997-09-20T00:00:00,2,Undrafted,,,,,,,,
249,Kevin Knox II,Pistons,Forward,6-7,215,USA,1999-08-11T00:00:00,4,9,,,,,,,,5845978.0
250,John Konchar,Grizzlies,Guard,6-5,210,USA,1996-03-22T00:00:00,3,Undrafted,43.0,575.0,184.0,128.0,47.0,30.0,9.0,2197674.0
251,Furkan Korkmaz,76ers,Guard-Forward,6-7,202,Turkey,1997-07-24T00:00:00,5,26,55.0,1062.0,501.0,113.0,82.0,49.0,9.0,4629630.0
252,Luke Kornet,Celtics,Center-Forward,7-2,250,USA,1995-07-15T00:00:00,5,Undrafted,18.0,254.0,80.0,52.0,20.0,2.0,25.0,606702.0
253,Vit Krejci,Thunder,Guard,6-8,195,Czech Republic,2000-06-19T00:00:00,1,37,,,,,,,,925258.0
254,Arnoldas Kulboka,Hornets,Forward,6-10,209,Lithuania,1998-01-04T00:00:00,1,55,,,,,,,,
255,Jonathan Kuminga,Warriors,Forward,6-7,225,DRC,2002-10-06T00:00:00,1,7,,,,,,,,5466360.0
256,Kyle Kuzma,Wizards,Forward,6-9,221,USA,1995-07-24T00:00:00,5,27,,,,,,,,13000000.0
257,Zach LaVine,Bulls,Guard-Forward,6-5,200,USA,1995-03-10T00:00:00,8,13,58.0,2034.0,1591.0,289.0,282.0,46.0,27.0,19500000.0
258,Anthony Lamb,Rockets,Forward,6-6,227,USA,1998-01-20T00:00:00,2,Undrafted,24.0,415.0,133.0,70.0,23.0,6.0,5.0,
259,Jeremy Lamb,Kings,Guard-Forward,6-5,180,USA,1992-05-30T00:00:00,10,12,,,,,,,,10500000.0
260,Jock Landale,Suns,Center,6-11,255,Australia,1995-10-25T00:00:00,1,Undrafted,,,,,,,,925258.0
261,Romeo Langford,Spurs,Guard-Forward,6-5,216,USA,1999-10-25T00:00:00,3,14,,,,,,,,3804360.0
262,Jake Layman,Celtics,Forward,6-8,209,USA,1994-03-07T00:00:00,6,47,,,,,,,,3940184.0
263,Caris LeVert,Cavaliers,Guard,6-6,205,USA,1994-08-25T00:00:00,6,20,,,,,,,,17500000.0
264,Damion Lee,Suns,Guard-Forward,6-5,210,USA,1992-10-21T00:00:00,5,Undrafted,,,,,,,,1910860.0
265,Saben Lee,Pistons,Guard,6-2,183,USA,1999-06-23T00:00:00,2,38,48.0,781.0,267.0,97.0,174.0,32.0,13.0,1489065.0
266,Alex Len,Kings,Center,7-0,250,Ukraine,1993-06-16T00:00:00,9,5,,,,,,,,3731707.0
267,Kawhi Leonard,Clippers,Forward,6-7,225,USA,1991-06-29T00:00:00,10,15,52.0,1772.0,1292.0,337.0,269.0,81.0,21.0,39344900.0
268,Scottie Lewis,Hornets,Guard,6-5,185,USA,2000-03-12T00:00:00,1,56,,,,,,,,
269,Kira Lewis Jr.,Pelicans,Guard,6-1,170,USA,2001-04-06T00:00:00,2,13,54.0,904.0,343.0,71.0,124.0,38.0,10.0,3822240.0
270,Damian Lillard,Trail Blazers,Guard,6-2,195,USA,1990-07-15T00:00:00,10,6,67.0,2398.0,1928.0,283.0,505.0,62.0,17.0,39344900.0
271,Nassir Little,Trail Blazers,Forward-Guard,6-5,220,USA,2000-02-11T00:00:00,3,25,48.0,640.0,220.0,128.0,23.0,5.0,13.0,2316240.0
272,Isaiah Livers,Pistons,Forward,6-6,232,USA,1998-07-28T00:00:00,1,42,,,,,,,,1057260.0
273,Kevon Looney,Warriors,Forward,6-9,222,USA,1996-02-06T00:00:00,7,30,61.0,1161.0,251.0,322.0,119.0,21.0,22.0,5178572.0
274,Brook Lopez,Bucks,Center,7-0,282,USA,1988-04-01T00:00:00,14,10,70.0,1902.0,859.0,347.0,50.0,40.0,103.0,13302325.0
275,Robin Lopez,Cavaliers,Center,7-0,281,USA,1988-04-01T00:00:00,14,15,,,,,,,,5000000.0
276,Didi Louzada,Trail Blazers,Guard,6-5,188,Brazil,1999-07-02T00:00:00,3,35,,,,,,,,1786878.0
277,Kevin Love,Cavaliers,Forward-Center,6-8,251,USA,1988-09-07T00:00:00,14,5,25.0,622.0,305.0,186.0,63.0,16.0,2.0,31300000.0
278,Kyle Lowry,Heat,Guard,6-0,196,USA,1986-03-25T00:00:00,16,24,,,,,,,,26984128.0
279,Gabriel Lundberg,Suns,Guard,6-4,203,Denmark,1994-12-04T00:00:00,1,Undrafted,,,,,,,,
280,Timothe Luwawu-Cabarrot,Hawks,Guard-Forward,6-7,215,France,1995-05-09T00:00:00,6,24,,,,,,,,1939350.0
281,Trey Lyles,Kings,Forward,6-9,234,Canada,1995-11-05T00:00:00,7,12,,,,,,,,2500000.0
282,Theo Maledon,Thunder,Guard,6-4,175,France,2001-06-12T00:00:00,2,34,65.0,1778.0,658.0,211.0,227.0,56.0,11.0,2000000.0
283,Sandro Mamukelashvili,Bucks,Forward-Center,6-9,240,Georgia,1999-05-23T00:00:00,1,54,,,,,,,,
284,Terance Mann,Clippers,Guard-Forward,6-5,215,USA,1996-10-18T00:00:00,3,48,67.0,1263.0,472.0,242.0,104.0,29.0,13.0,1782621.0
285,Tre Mann,Thunder,Guard,6-3,178,USA,2001-02-03T00:00:00,1,18,,,,,,,,2901240.0
286,Boban Marjanovic,Rockets,Center,7-3,290,Serbia,1988-08-15T00:00:00,7,Undrafted,,,,,,,,3500000.0
287,Lauri Markkanen,Jazz,Forward-Center,6-11,240,Finland,1997-05-22T00:00:00,5,7,,,,,,,,15690909.0
288,Naji Marshall,Pelicans,Forward,6-7,220,USA,1998-01-24T00:00:00,2,Undrafted,32.0,700.0,246.0,148.0,88.0,26.0,10.0,1517981.0
289,Caleb Martin,Heat,Forward,6-5,205,USA,1995-09-28T00:00:00,3,Undrafted,,,,,,,,527614.0
290,Cody Martin,Hornets,Forward,6-6,205,USA,1995-09-28T00:00:00,3,36,52.0,849.0,207.0,161.0,86.0,37.0,12.0,1782621.0
291,Kenyon Martin Jr.,Rockets,Forward,6-5,215,USA,2001-01-06T00:00:00,2,52,45.0,1068.0,419.0,242.0,48.0,30.0,41.0,1517981.0
292,Garrison Mathews,Rockets,Guard,6-5,215,USA,1996-10-24T00:00:00,3,Undrafted,,,,,,,,1093598.0
293,Wesley Matthews,Bucks,Guard,6-4,220,USA,1986-10-14T00:00:00,13,Undrafted,,,,,,,,1958501.0
294,Tyrese Maxey,76ers,Guard,6-2,200,USA,2000-11-04T00:00:00,2,21,61.0,936.0,488.0,104.0,120.0,26.0,13.0,2602920.0
295,Skylar Mays,Hawks,Guard,6-4,205,USA,1997-09-05T00:00:00,2,50,33.0,269.0,124.0,35.0,30.0,14.0,2.0,
296,Miles McBride,Knicks,Guard,6-1,195,USA,2000-09-08T00:00:00,1,36,,,,,,,,925258.0
297,Mac McClung,Warriors,Guard,6-2,185,USA,1999-01-06T00:00:00,1,Undrafted,,,,,,,,
298,CJ McCollum,Pelicans,Guard,6-3,190,USA,1991-09-19T00:00:00,9,10,,,,,,,,30864198.0
299,T.J. McConnell,Pacers,Guard,6-1,190,USA,1992-03-25T00:00:00,7,,69.0,1796.0,596.0,256.0,456.0,128.0,23.0,7500000.0
300,Jaden McDaniels,Timberwolves,Forward,6-9,185,USA,2000-09-29T00:00:00,2,28,63.0,1511.0,427.0,232.0,71.0,35.0,60.0,2063280.0
301,Jalen McDaniels,Hornets,Forward-Center,6-9,205,USA,1998-01-31T00:00:00,3,52,47.0,904.0,346.0,169.0,53.0,28.0,19.0,1782621.0
302,Doug McDermott,Spurs,Forward,6-7,225,USA,1992-01-03T00:00:00,8,11,,,,,,,,13750000.0
303,JaVale McGee,Mavericks,Center-Forward,7-0,270,USA,1988-01-19T00:00:00,14,18,,,,,,,,5000000.0
304,Rodney McGruder,Pistons,Guard,6-4,205,USA,1991-07-29T00:00:00,6,Undrafted,16.0,194.0,91.0,22.0,16.0,8.0,1.0,1939350.0
305,Jordan McLaughlin,Timberwolves,Guard,5-11,185,USA,1996-04-09T00:00:00,3,Undrafted,51.0,938.0,256.0,108.0,193.0,51.0,6.0,1669178.0
306,Ben McLemore,Trail Blazers,Guard,6-3,195,USA,1993-02-11T00:00:00,9,7,,,,,,,,2389641.0
307,De'Anthony Melton,76ers,Guard,6-2,200,USA,1998-05-28T00:00:00,4,46,,,,,,,,8437500.0
308,Chimezie Metu,Kings,Forward-Center,6-9,225,USA,1997-03-22T00:00:00,4,49,36.0,488.0,226.0,112.0,28.0,14.0,18.0,1762796.0
309,Khris Middleton,Bucks,Forward,6-7,222,USA,1991-08-12T00:00:00,10,39,68.0,2269.0,1385.0,406.0,370.0,74.0,9.0,35500000.0
310,Patty Mills,Nets,Guard,6-0,180,Australia,1988-08-11T00:00:00,13,55,,,,,,,,5890000.0
311,Paul Millsap,76ers,Forward,6-7,257,USA,1985-02-10T00:00:00,16,47,,,,,,,,2641691.0
312,Shake Milton,76ers,Guard-Forward,6-5,205,USA,1996-09-26T00:00:00,4,54,63.0,1461.0,817.0,148.0,193.0,39.0,18.0,1846738.0
313,Davion Mitchell,Kings,Guard,6-0,202,USA,1998-09-05T00:00:00,1,9,,,,,,,,4603320.0
314,Donovan Mitchell,Cavaliers,Guard,6-1,215,USA,1996-09-07T00:00:00,5,13,,,,,,,,28103550.0
315,Evan Mobley,Cavaliers,Center,6-11,215,USA,2001-06-18T00:00:00,1,3,,,,,,,,8075160.0
316,Malik Monk,Kings,Guard,6-3,200,USA,1998-02-04T00:00:00,5,11,,,,,,,,1789256.0
317,Greg Monroe,Timberwolves,Forward-Center,6-10,250,USA,1990-06-04T00:00:00,10,7,,,,,,,,
318,Moses Moody,Warriors,Guard,6-5,211,USA,2002-05-31T00:00:00,1,14,,,,,,,,3562080.0
319,Xavier Moon,Clippers,Guard,6-2,165,USA,1995-01-02T00:00:00,1,Undrafted,,,,,,,,
320,Ja Morant,Grizzlies,Guard,6-3,174,USA,1999-08-10T00:00:00,3,2,63.0,2053.0,1204.0,252.0,465.0,57.0,13.0,9603360.0
321,Juwan Morgan,Celtics,Forward,6-7,232,USA,1997-04-17T00:00:00,4,Undrafted,,,,,,,,
322,Markieff Morris,Nets,Forward,6-9,245,USA,1989-09-02T00:00:00,11,13,,,,,,,,2641691.0
323,Monte Morris,Wizards,Guard,6-2,183,USA,1995-06-27T00:00:00,5,51,,,,,,,,8333333.0
324,Marcus Morris Sr.,Clippers,Forward,6-8,218,USA,1989-09-02T00:00:00,11,14,57.0,1502.0,765.0,234.0,58.0,34.0,15.0,15627907.0
325,Mychal Mulder,Heat,Guard,6-3,195,Canada,1994-06-12T00:00:00,4,Undrafted,,,,,,,,
326,Trey Murphy III,Pelicans,Forward,6-8,206,USA,2000-06-18T00:00:00,1,17,,,,,,,,3053760.0
327,Dejounte Murray,Hawks,Guard,6-4,180,USA,1996-09-19T00:00:00,5,29,,,,,,,,15428571.0
328,Jamal Murray,Nuggets,Guard,6-3,215,Canada,1997-02-23T00:00:00,5,7,48.0,1704.0,1018.0,194.0,231.0,64.0,13.0,31590000.0
329,Mike Muscala,Thunder,Forward-Center,6-10,240,USA,1991-07-01T00:00:00,9,44,35.0,645.0,339.0,132.0,28.0,8.0,11.0,3500000.0
330,Svi Mykhailiuk,Raptors,Guard-Forward,6-7,205,Ukraine,1997-06-10T00:00:00,5,47,,,,,,,,1729217.0
331,Larry Nance Jr.,Pelicans,Forward-Center,6-7,245,USA,1993-01-01T00:00:00,7,27,,,,,,,,10690909.0
332,RJ Nembhard Jr.,Cavaliers,Guard,6-4,200,USA,1999-03-22T00:00:00,1,Undrafted,,,,,,,,
333,Aaron Nesmith,Pacers,Guard-Forward,6-5,215,USA,1999-10-16T00:00:00,2,14,,,,,,,,3631200.0
334,Raul Neto,Cavaliers,Guard,6-2,180,Brazil,1992-05-19T00:00:00,7,47,,,,,,,,2089448.0
335,Georges Niang,76ers,Forward,6-7,230,USA,1993-06-17T00:00:00,6,50,,,,,,,,3300000.0
336,Daishen Nix,Rockets,Guard,6-4,226,USA,2002-02-13T00:00:00,1,Undrafted,,,,,,,,292466.0
337,Zeke Nnaji,Nuggets,Forward-Center,6-9,240,USA,2001-01-09T00:00:00,2,22,42.0,397.0,136.0,65.0,10.0,8.0,4.0,2498760.0
338,Nerlens Noel,Pistons,Center-Forward,6-11,220,USA,1994-04-10T00:00:00,8,6,,,,,,,,8800000.0
339,Jaylen Nowell,Timberwolves,Guard,6-4,201,USA,1999-07-09T00:00:00,3,43,42.0,759.0,379.0,95.0,62.0,22.0,12.0,1782621.0
340,Frank Ntilikina,Mavericks,Guard,6-4,200,France,1998-07-28T00:00:00,5,8,,,,,,,,1789256.0
341,Kendrick Nunn,Lakers,Guard,6-2,190,USA,1995-08-03T00:00:00,2,Undrafted,,,,,,,,5000000.0
342,Jusuf Nurkic,Trail Blazers,Center,6-11,290,Bosnia and Herzegovina,1994-08-23T00:00:00,8,16,37.0,880.0,424.0,332.0,125.0,38.0,39.0,12000000.0
343,David Nwaba,Rockets,Guard-Forward,6-5,219,USA,1993-01-14T00:00:00,6,Undrafted,30.0,679.0,276.0,118.0,31.0,30.0,21.0,4650000.0
344,Jordan Nwora,Bucks,Forward,6-8,225,USA,1998-09-09T00:00:00,2,45,30.0,274.0,171.0,60.0,7.0,17.0,8.0,1517981.0
345,Royce O'Neale,Nets,Forward,6-5,226,USA,1993-06-05T00:00:00,5,Undrafted,,,,,,,,8678571.0
346,Chuma Okeke,Magic,Forward,6-6,229,USA,1998-08-18T00:00:00,2,16,45.0,1133.0,349.0,181.0,101.0,48.0,22.0,3277080.0
347,Josh Okogie,Suns,Guard,6-4,213,Nigeria,1998-09-01T00:00:00,4,20,,,,,,,,4087904.0
348,Onyeka Okongwu,Hawks,Forward-Center,6-8,240,USA,2000-12-11T00:00:00,2,6,50.0,601.0,228.0,163.0,18.0,23.0,33.0,6104280.0
349,Isaac Okoro,Cavaliers,Forward-Guard,6-5,225,USA,2001-01-26T00:00:00,2,5,67.0,2173.0,646.0,206.0,128.0,62.0,24.0,6720720.0
350,Victor Oladipo,Heat,Guard,6-4,213,USA,1992-05-04T00:00:00,9,2,4.0,111.0,48.0,14.0,14.0,7.0,2.0,2389641.0
351,Kelly Olynyk,Pistons,Forward-Center,6-11,240,Canada,1991-04-19T00:00:00,9,13,,,,,,,,12195122.0
352,Cedi Osman,Cavaliers,Forward,6-7,230,Turkey,1995-04-08T00:00:00,5,31,59.0,1511.0,613.0,201.0,174.0,53.0,9.0,8050000.0
353,Kelly Oubre Jr.,Hornets,Forward-Guard,6-6,203,USA,1995-12-09T00:00:00,7,15,,,,,,,,12000000.0
354,Eric Paschall,Timberwolves,Forward,6-6,255,USA,1996-11-04T00:00:00,3,41,,,,,,,,1782621.0
355,Chris Paul,Suns,Guard,6-0,175,USA,1985-05-06T00:00:00,17,4,70.0,2200.0,1149.0,312.0,622.0,99.0,19.0,30800000.0
356,Cameron Payne,Suns,Guard,6-1,183,USA,1994-08-08T00:00:00,7,14,60.0,1079.0,505.0,144.0,217.0,36.0,16.0,6500000.0
357,Elfrid Payton,Suns,Guard,6-3,195,USA,1994-02-22T00:00:00,8,10,,,,,,,,2239544.0
358,Gary Payton II,Trail Blazers,Guard,6-3,195,USA,1992-12-01T00:00:00,6,Undrafted,,,,,,,,1939350.0
359,Jamorko Pickett,Cavaliers,Forward,6-9,206,USA,1997-12-24T00:00:00,1,Undrafted,,,,,,,,
360,Theo Pinson,Mavericks,Guard-Forward,6-5,212,USA,1995-11-05T00:00:00,4,Undrafted,,,,,,,,
361,Mason Plumlee,Hornets,Forward-Center,6-11,254,USA,1990-03-05T00:00:00,9,22,,,,,,,,8137500.0
362,Jakob Poeltl,Spurs,Center,7-1,245,Austria,1995-10-15T00:00:00,6,9,69.0,1845.0,593.0,547.0,134.0,47.0,123.0,8750000.0
363,Aleksej Pokusevski,Thunder,Forward,7-0,190,Serbia,2001-12-26T00:00:00,2,17,45.0,1090.0,367.0,212.0,97.0,20.0,42.0,3113160.0
364,Yves Pons,Grizzlies,Forward,6-5,206,France,1999-05-07T00:00:00,1,Undrafted,,,,,,,,
365,Jordan Poole,Warriors,Guard,6-4,194,USA,1999-06-19T00:00:00,3,28,51.0,988.0,612.0,92.0,99.0,26.0,9.0,2161440.0
366,Kevin Porter Jr.,Rockets,Guard-Forward,6-4,203,USA,2000-05-04T00:00:00,3,30,26.0,836.0,431.0,99.0,164.0,19.0,8.0,2130240.0
367,Michael Porter Jr.,Nuggets,Forward,6-10,218,USA,1998-06-29T00:00:00,3,14,61.0,1912.0,1162.0,445.0,70.0,40.0,54.0,5258735.0
368,Otto Porter Jr.,Raptors,Forward,6-8,198,USA,1993-06-03T00:00:00,9,3,,,,,,,,2389641.0
369,Bobby Portis,Bucks,Forward,6-10,250,USA,1995-02-10T00:00:00,7,22,66.0,1372.0,754.0,466.0,71.0,52.0,26.0,4347600.0
370,Kristaps Porzingis,Wizards,Forward-Center,7-3,240,Latvia,1995-08-02T00:00:00,6,4,,,,,,,,31650600.0
371,Dwight Powell,Mavericks,Forward-Center,6-10,240,Canada,1991-07-20T00:00:00,8,45,58.0,966.0,342.0,234.0,63.0,36.0,30.0,11000000.0
372,Myles Powell,76ers,Guard,6-2,195,USA,1997-07-07T00:00:00,2,Undrafted,,,,,,,,
373,Norman Powell,Clippers,Guard,6-3,215,USA,1993-05-25T00:00:00,7,46,,,,,,,,15517242.0
374,Joshua Primo,Spurs,Guard,6-4,189,Canada,2002-12-24T00:00:00,1,12,,,,,,,,3946800.0
375,Taurean Prince,Timberwolves,Forward,6-6,218,USA,1994-03-22T00:00:00,6,12,,,,,,,,15057692.0
376,Payton Pritchard,Celtics,Guard,6-1,195,USA,1998-01-28T00:00:00,2,26,66.0,1268.0,510.0,158.0,120.0,37.0,9.0,2137440.0
377,Trevelin Queen,76ers,Guard,6-6,190,USA,1997-02-25T00:00:00,1,Undrafted,,,,,,,,
378,Neemias Queta,Kings,Center,7-0,248,Portugal,1999-07-13T00:00:00,1,39,,,,,,,,
379,Immanuel Quickley,Knicks,Guard,6-3,190,USA,1999-06-17T00:00:00,2,25,64.0,1244.0,731.0,137.0,127.0,30.0,12.0,2210640.0
380,Julius Randle,Knicks,Forward-Center,6-8,250,USA,1994-11-29T00:00:00,8,7,71.0,2667.0,1712.0,724.0,427.0,64.0,18.0,19800000.0
381,Austin Reaves,Lakers,Guard,6-5,197,USA,1998-05-29T00:00:00,1,Undrafted,,,,,,,,925258.0
382,Cam Reddish,Knicks,Forward-Guard,6-8,217,USA,1999-09-01T00:00:00,3,10,,,,,,,,4670160.0
383,Davon Reed,Nuggets,Guard,6-5,206,USA,1995-06-11T00:00:00,3,32,,,,,,,,
384,Paul Reed,76ers,Forward,6-9,210,USA,1999-06-14T00:00:00,2,58,26.0,177.0,88.0,61.0,12.0,10.0,13.0,1517981.0
385,Naz Reid,Timberwolves,Center-Forward,6-9,264,USA,1999-08-26T00:00:00,3,Undrafted,70.0,1347.0,784.0,322.0,72.0,34.0,76.0,1782621.0
386,Nick Richards,Hornets,Center,7-0,245,Jamaica,1997-11-29T00:00:00,2,42,18.0,63.0,15.0,11.0,2.0,0.0,0.0,1517981.0
387,Josh Richardson,Spurs,Guard,6-5,200,USA,1993-09-15T00:00:00,7,40,,,,,,,,11600000.0
388,Austin Rivers,Timberwolves,Guard,6-4,200,USA,1992-08-01T00:00:00,10,10,,,,,,,,2401537.0
389,Duncan Robinson,Heat,Forward,6-7,215,USA,1994-04-22T00:00:00,4,Undrafted,72.0,2262.0,942.0,250.0,127.0,43.0,20.0,15560000.0
390,Mitchell Robinson,Knicks,Center-Forward,7-0,240,USA,1998-04-01T00:00:00,4,36,31.0,853.0,256.0,252.0,17.0,35.0,45.0,1802057.0
391,Jeremiah Robinson-Earl,Thunder,Forward,6-8,242,USA,2000-11-03T00:00:00,1,32,,,,,,,,2000000.0
392,Isaiah Roby,Spurs,Forward,6-8,230,USA,1998-02-03T00:00:00,3,45,,,,,,,,1782621.0
393,Rajon Rondo,Cavaliers,Guard,6-1,180,USA,1986-02-22T00:00:00,17,21,,,,,,,,2641691.0
394,Derrick Rose,Knicks,Guard,6-2,200,USA,1988-10-04T00:00:00,13,1,35.0,937.0,521.0,101.0,146.0,31.0,15.0,13445120.0
